*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=19:41:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;94.7928;-40.6656;0;Bottom;Copper Fill38
103;;;60.9854;-33.7187;0;Bottom;Copper Fill526
104;;;43.9896;-60.0238;0;Bottom;Via98
105;;;41.0718;-84.8108;0;Bottom;Copper Fill227
106;;;93.4593;-33.5282;0;Bottom;Copper Fill199
107;;;73.6854;-33.7187;0;Bottom;Copper Fill538
108;;;54.8894;-58.5091;0;Bottom;Copper Fill367
109;;;39.9288;-78.5116;0;Bottom;Copper Fill234
110;;;72.8345;-93.2436;0;Bottom;Copper Fill559
111;;;84.5693;-21.768;0;Bottom;Copper Fill502
112;;;72.8345;-93.2436;0;Bottom;Copper Fill212
113;;;81.0641;-66.599;0;Bottom;Copper Fill104
114;;;7.5946;-7.7091;0;Bottom;Copper Fill73
115;;;19.5421;-81.6139;0;Bottom;Via95
116;;;86.9188;-91.1735;0;Bottom;Copper Fill352
117;;;61.1886;-58.5091;0;Bottom;Copper Fill432
118;10;0805 [SMD];72.6372;-58.4363;180;Top;R25
119;;;6.604;-7.7091;0;Bottom;Copper Fill336
120;;;4.2545;-93.5484;0;Bottom;Copper Fill488
121;;DIP (Dual Inline) [THT];43.0372;-37.4813;180;Bottom;IC4
122;;THT;54.1497;-84.4713;90;Bottom;J173
123;;;87.1093;-25.2986;0;Bottom;Copper Fill418
124;0.1µF;0805 [SMD, multilayer];69.3897;-88.3538;90;Top;C13
125;;;94.7928;-45.7456;0;Bottom;Copper Fill275
126;;;87.4141;-91.6688;0;Bottom;Copper Fill85
127;;;72.1741;-61.519;0;Bottom;Copper Fill168
128;;;88.4936;-55.8548;0;Bottom;Copper Fill264
129;;;76.5556;-13.9956;0;Bottom;Copper Fill60
130;;;32.4993;-56.4644;0;Bottom;Copper Fill148
131;1k;0805 [SMD];88.0496;-55.8963;180;Top;R24
132;;;34.6456;-92.7483;0;Bottom;Copper Fill440
