*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4.3c (Modded)
*Date=21:16:00
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;86.0933;-94.6406;0;Bottom;Copper Fill295
102;;;73.2282;-38.2399;0;Bottom;Copper Fill471
103;;;71.882;-52.6798;0;Bottom;Copper Fill377
104;;;21.3614;-10.8714;0;Bottom;Copper Fill447
105;;;97.663;-42.5198;0;Bottom;Copper Fill398
106;;;31.5261;-41.352;0;Bottom;Via4
107;;;84.1629;-41.2752;0;Bottom;Copper Fill472
108;;;15.6337;-55.5246;0;Bottom;Copper Fill182
109;;;29.1846;-50.0636;0;Bottom;Copper Fill52
110;;;90.0176;-10.9095;0;Bottom;Copper Fill454
111;;;18.1737;-64.4146;0;Bottom;Copper Fill500
112;2.4k;THT;60.7362;-40.082;90;Bottom;R33
113;;;81.1784;-27.4322;0;Bottom;Copper Fill425
114;;;82.423;-85.8395;0;Bottom;Copper Fill318
115;;;95.0214;-78.1814;0;Bottom;Copper Fill343
116;;;11.8364;-88.316;0;Bottom;Copper Fill328
117;;THT;9.9362;-19.127;0;Bottom;J38
118;;;25.7048;-9.3728;0;Bottom;Copper Fill133
119;;;17.7038;-15.9514;0;Bottom;Copper Fill126
120;;THT;7.3962;-24.207;0;Bottom;J48
121;;;1.95052;-33.933;0;Bottom;TXT10
122;;;70.1929;-95.047;0;Bottom;Copper Fill260
123;;THT;12.4762;-16.587;0;Bottom;J22
124;;;85.4202;-93.9675;0;Bottom;Copper Fill297
125;;;96.3676;-19.7995;0;Bottom;Copper Fill481
126;;;4.2037;-67.9452;0;Bottom;Copper Fill455
127;;;21.3614;-48.9714;0;Bottom;Copper Fill62
128;;;46.4058;-62.9795;0;Bottom;Copper Fill582
129;;;34.0233;-8.8648;0;Bottom;Copper Fill204
130;;;88.6333;-69.2152;0;Bottom;Copper Fill197
131;;;39.1033;-20.9552;0;Bottom;Copper Fill604
132;;;32.512;-18.2628;0;Bottom;Copper Fill427
133;;;6.50066;-67.4812;-90;Bottom;TXT13
134;;;72.7329;-44.0946;0;Bottom;Copper Fill490
135;;;21.3614;-28.6514;0;Bottom;Copper Fill107
136;;;88.2396;-74.0666;0;Bottom;Copper Fill348
137;;;21.3614;-18.4914;0;Bottom;Copper Fill440
138;;;39.1033;-41.2752;0;Bottom;Copper Fill573
139;;;91.2876;-93.4595;0;Bottom;Copper Fill240
140;;;24.4729;-66.9546;0;Bottom;Copper Fill186
141;;;91.44;-35.103;0;Bottom;Copper Fill93
142;;;9.9361;-49.607;0;Bottom;Via36
143;;DIP (Dual Inline) [THT];51.8462;-22.302;-90;Bottom;IC4
144;;;95.4532;-22.9999;0;Bottom;Copper Fill263
145;;THT;7.3962;-31.827;0;Bottom;J52
146;;;55.6133;-19.3804;0;Bottom;Copper Fill561
147;;;1.81872;-39.2011;0;Bottom;TXT7
148;;;44.958;-21.0695;0;Bottom;Copper Fill253
149;;;1.778;-45.4408;0;Bottom;Copper Fill65
150;1k;THT;44.8612;-71.832;90;Bottom;R51
151;;;41.4782;-9.6395;0;Bottom;Copper Fill594
152;;THT;4.8562;-19.127;0;Bottom;J62
153;470;THT;41.6862;-41.987;90;Bottom;R8
154;;TO220 [THT];6.14962;-88.1114;180;Bottom;Q2
155;1k;THT;37.2178;-92.7635;0;Bottom;R10
156;;;17.653;-64.9099;0;Bottom;Copper Fill501
157;;;52.0774;-4.01488;0;Bottom;IMG1
158;;;61.9633;-20.2948;0;Bottom;Copper Fill570
159;;;56.2102;-32.563;0;Bottom;Copper Fill414
160;;THT;9.9362;-6.42696;-90;Bottom;J69
161;;;37.8333;-68.4024;0;Bottom;Copper Fill264
162;;THT;12.4762;-29.287;0;Bottom;J31
163;;;86.233;-34.4299;0;Bottom;Copper Fill218
164;;;78.3082;-15.3799;0;Bottom;Copper Fill516
165;;;1.89408;-36.5859;0;Bottom;TXT11
166;;;39.1461;-20.3971;0;Bottom;Via20
167;;;89.3111;-46.432;0;Bottom;Via1
168;;;24.6634;-86.9952;0;Bottom;Copper Fill2
169;;THT;77.2462;-10.237;-90;Bottom;JP4
170;;;1.82239;-24.0659;0;Bottom;TXT11
171;;;83.6676;-40.7799;0;Bottom;Copper Fill160
172;;;92.7862;-48.184;0;Bottom;Copper Fill389
173;;;42.9133;-41.8848;0;Bottom;Copper Fill461
