*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.4.5 (gnd)
*Date=18:40:24
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
100;;;68.0376;-64.8219;0;Bottom;TXT1
101;;;59.5884;-69.8883;0;Bottom;Copper Fill382
102;;;71.2978;-42.4944;0;Bottom;Copper Fill297
103;;;77.2752;-17.1134;0;Bottom;Via116
104;;;50.5333;-64.6178;0;Bottom;Copper Fill488
105;;;57.658;-19.0883;0;Bottom;Copper Fill93
106;;;70.5485;-84.9632;0;Bottom;Copper Fill440
107;;;86.3092;-10.5666;0;Bottom;Copper Fill349
108;;;72.644;-62.5604;0;Bottom;Copper Fill269
109;;;89.9752;-18.3834;0;Bottom;Via118
110;;;49.9872;-74.1174;0;Bottom;Copper Fill18
111;;;27.3685;-91.6434;0;Bottom;Copper Fill464
112;;;78.3336;-38.7479;0;Bottom;Copper Fill82
113;;;91.4781;-89.4336;0;Bottom;Copper Fill571
114;;;52.4637;-84.6076;0;Bottom;Copper Fill127
115;;;34.4678;-75.7684;0;Bottom;Copper Fill255
116;;;31.9532;-25.0192;0;Bottom;Copper Fill332
117;;;72.4789;-68.758;0;Bottom;Copper Fill525
118;;;32.1437;-83.49;0;Bottom;Copper Fill181
119;;;79.9084;-19.3931;0;Bottom;Copper Fill138
120;;;71.5602;-9.17591;0;Bottom;Via155
121;1k;0805 [SMD];33.4602;-71.3058;90;Top;R57
122;;v18za2p;49.9703;-86.4483;-90;Bottom;U2
123;3.9k;0805 [SMD];87.3627;-31.1333;180;Top;R7
124;;;50.546;-26.7464;0;Bottom;Copper Fill323
125;;;67.7037;-16.5102;0;Bottom;Copper Fill499
126;;;45.8089;-64.313;0;Bottom;Copper Fill196
127;;;31.1912;-90.8179;0;Bottom;Copper Fill184
128;;;37.3888;-86.0427;0;Bottom;Copper Fill379
129;;;42.5196;-43.5231;0;Bottom;Copper Fill557
130;;;36.9189;-85.5728;0;Bottom;Copper Fill100
131;;;66.4337;-92.2784;0;Bottom;Copper Fill436
132;;;65.9529;-69.8879;-90;Bottom;TXT2
133;;;58.8984;-46.4136;0;Bottom;IMG1
134;;;20.5232;-22.2379;0;Bottom;Copper Fill426
135;;;97.3582;-42.5198;0;Bottom;Copper Fill299
136;;;57.8104;-20.9552;0;Bottom;Copper Fill65
137;;;94.4118;-34.8998;0;Bottom;Copper Fill49
138;;;81.7118;-75.7684;0;Bottom;Copper Fill6
139;;;71.0946;-29.1848;0;Bottom;Copper Fill54
140;;;12.3952;-67.0816;0;Bottom;Copper Fill15
141;;;65.3542;-41.5927;0;Bottom;Copper Fill532
142;;;87.6681;-68.758;0;Bottom;Copper Fill201
143;;;32.1437;-89.8908;0;Bottom;Copper Fill505
144;;;64.5033;-42.4436;0;Bottom;Copper Fill210
145;;;82.9056;-91.7831;0;Bottom;Copper Fill241
146;;;15.0241;-7.4678;0;Bottom;Copper Fill411
147;;;41.9989;-64.6178;0;Bottom;Copper Fill481
148;;;79.9084;-19.3931;0;Bottom;Copper Fill418
149;;;71.5137;-9.7284;0;Bottom;Copper Fill152
150;;;17.9027;-73.9458;0;Bottom;Via53
151;;;71.0184;-9.2331;0;Bottom;Copper Fill154
152;;;91.948;-37.4144;0;Bottom;Copper Fill308
153;;;49.9872;-65.1131;0;Bottom;Copper Fill489
154;;;94.4118;-34.8998;0;Bottom;Copper Fill312
155;;;12.1285;-77.9528;0;Bottom;Copper Fill111
156;;;19.7485;-64.313;0;Bottom;Copper Fill519
157;;;79.2988;-38.7479;0;Bottom;Copper Fill356
158;;;41.4528;-23.0507;0;Bottom;Copper Fill535
159;;;89.0524;-17.8564;0;Bottom;Copper Fill338
160;;;49.2506;-90.1575;0;Bottom;Copper Fill224
161;;;70.7136;-52.7179;0;Bottom;Copper Fill108
162;;;81.026;-91.7831;0;Bottom;Copper Fill579
163;;;55.7012;-62.5805;0;Bottom;TXT12
164;;;88.1634;-49.2127;0;Bottom;Copper Fill409
165;;;3.5941;-86.2332;0;Bottom;Copper Fill84
166;;;87.7824;-58.3186;0;Bottom;Copper Fill19
167;470;0805 [SMD];72.5853;-31.1333;180;Top;R8
168;;;94.4118;-65.3798;0;Bottom;Copper Fill20
169;;;71.2427;-36.4808;0;Bottom;Via168
170;;;26.8478;-75.7684;0;Bottom;Copper Fill252
171;;;97.5678;-24.3175;-90;Bottom;TXT4
172;;;78.8289;-38.278;0;Bottom;Copper Fill354
173;;TO220 [THT];17.5853;-80.9943;180;Bottom;Q4
174;;;30.089;-17.7649;0;Bottom;TXT3
175;;;87.7527;-34.5758;0;Bottom;Via150
176;1µF;0805 [SMD, multilayer];42.0327;-42.4408;90;Top;C20
177;100k;0805 [SMD];44.2552;-90.0657;-90;Top;R10
178;;;31.9532;-43.4596;0;Bottom;Copper Fill294
179;;;59.5884;-69.8883;0;Bottom;Copper Fill105
180;;;8.3185;-25.8828;0;Bottom;Copper Fill173
181;;;87.1982;-34.6331;0;Bottom;Copper Fill416
182;;;22.6441;-84.6076;0;Bottom;Copper Fill365
183;;;94.4118;-42.5198;0;Bottom;Copper Fill42
184;;;97.4708;-13.0141;-90;Bottom;TXT4
185;;;74.0537;-88.57;0;Bottom;Copper Fill215
