*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=14:52:36
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;34.1249;-93.2944;0;Bottom;Copper Fill413
103;1k;0805 [SMD];31.6072;-84.3987;-90;Top;R11
104;;;84.5693;-23.4444;0;Bottom;Copper Fill473
105;;;48.0568;-65.7735;0;Bottom;Copper Fill177
106;;;41.0718;-84.8108;0;Bottom;Copper Fill214
107;;;16.2306;-68.0087;0;Bottom;Copper Fill183
108;;;54.8894;-58.5091;0;Bottom;Copper Fill351
109;;;36.0934;-65.9767;0;Bottom;Copper Fill437
110;;;63.0428;-30.5056;0;Bottom;Copper Fill283
111;;;20.574;-74.6635;0;Bottom;Copper Fill396
112;;THT;49.0697;-92.0913;90;Bottom;J195
113;;;87.9094;-91.1735;0;Bottom;Copper Fill86
114;;TO220 [THT];24.8762;-68.2788;90;Bottom;Q8
115;10;0805 [SMD];72.6372;-38.7513;0;Top;R31
116;;;87.4141;-91.6688;0;Bottom;Copper Fill83
117;;;94.7928;-58.4456;0;Bottom;Copper Fill19
118;;;40.4368;-37.4652;0;Bottom;Copper Fill275
119;;;3.3496;-22.8763;0;Bottom;Via123
120;1k;0805 [SMD];83.4596;-11.7637;0;Top;R40
121;;;36.0521;-90.5039;0;Bottom;Via97
122;;;41.7068;-88.5446;0;Bottom;Copper Fill213
123;;;53.8988;-53.4291;0;Bottom;Copper Fill347
124;;;80.5688;-38.4939;0;Bottom;Copper Fill379
125;;;21.082;-85.3315;0;Bottom;Copper Fill459
126;;;89.7096;-27.3213;0;Bottom;Via93
127;;;94.5388;-82.9439;0;Bottom;Copper Fill108
128;;;94.7928;-35.5856;0;Bottom;Copper Fill278
129;;;75.0697;-14.3004;0;Bottom;Copper Fill502
130;;;21.1296;-74.6288;0;Bottom;Via130
131;;;4.2545;-91.6688;0;Bottom;Copper Fill161
132;;;73.5838;-75.9208;0;Bottom;Copper Fill238
133;10;0805 [SMD];72.6372;-43.5138;180;Top;R32
134;;;95.0341;-82.4486;0;Bottom;Copper Fill357
135;;;94.7928;-66.0656;0;Bottom;Copper Fill11
136;;;89.1413;-44.4248;0;Bottom;Copper Fill421
137;100k;0805 [SMD];88.1947;-43.8313;180;Top;R36
138;;;65.5193;-23.8;0;Bottom;Copper Fill499
139;;;61.7093;-38.278;0;Bottom;Copper Fill451
140;;;49.784;-9.9443;0;Bottom;Copper Fill134
141;;;54.1528;-78.5116;0;Bottom;Copper Fill226
142;;;61.1886;-58.5091;0;Bottom;Copper Fill403
143;;;79.0702;-76.2256;0;Bottom;Copper Fill233
144;;;95.3389;-28.1688;0;Bottom;Copper Fill67
145;;;51.6128;-30.404;0;Bottom;Copper Fill285
146;;;72.8345;-93.2436;0;Bottom;Copper Fill531
147;;;77.4446;-52.0956;0;Bottom;Copper Fill255
148;;;86.614;-25.7939;0;Bottom;Copper Fill71
149;;;94.7928;-58.4456;0;Bottom;Copper Fill248
150;;;69.042;-73.4491;0;Bottom;TXT1
151;;;34.6456;-85.4839;0;Bottom;Copper Fill410
152;1k;0805 [SMD];88.0496;-53.3563;180;Top;R23
153;;;50.3174;-93.269;0;Bottom;Copper Fill208
154;;;88.7984;-40.437;0;Bottom;Copper Fill268
155;0.1µF;0805 [SMD, multilayer];66.6047;-19.3837;0;Top;C9
156;;;2.0193;-81.204;0;Bottom;Copper Fill368
157;;;34.7821;-88.2814;0;Bottom;Via96
158;;;28.8798;-10.6174;0;Bottom;Copper Fill63
159;;THT;54.1497;-81.9313;90;Bottom;J204
160;;;48.3616;-35.3824;0;Bottom;Copper Fill40
161;;;21.4249;-59.614;0;Bottom;Copper Fill338
162;;;21.1074;-36.8302;0;Bottom;Copper Fill277
163;;;37.6284;-89.9115;-90;Bottom;TXT11
164;;THT;46.5297;-81.9313;90;Bottom;J203
165;;;34.5948;-34.6839;0;Bottom;Copper Fill376
166;;;94.7928;-48.2856;0;Bottom;Copper Fill28
167;;;88.3793;-46.8886;0;Bottom;Copper Fill92
168;;THT;59.2297;-92.0913;90;Bottom;J188
169;;THT;54.1497;-87.0113;90;Bottom;J144
170;470;0805 [SMD];70.6597;-22.3138;-90;Top;R22
171;;;14.351;-61.6206;0;Bottom;Copper Fill14
172;100k;0805 [SMD];16.6847;-91.7012;-90;Top;R13
173;;;67.4116;-93.1039;0;Bottom;Copper Fill205
174;;;29.8958;-81.5342;0;Bottom;Copper Fill215
175;;;87.9094;-91.1735;0;Bottom;Copper Fill337
