*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.4.5 (gnd)
*Date=19:43:46
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;10;0805 [SMD];70.8527;-39.9733;0;Top;R31
103;;;18.3388;-74.0031;0;Bottom;Copper Fill88
104;;;14.0716;-82.5375;0;Bottom;Copper Fill512
105;;;60.0837;-69.393;0;Bottom;Copper Fill103
106;;;22.0302;-5.36591;0;Bottom;Via158
107;;;12.3952;-67.0816;0;Bottom;Copper Fill15
108;;TO220 [THT];34.7303;-89.2493;180;Bottom;Q3
109;;;32.3088;-9.2331;0;Bottom;Copper Fill236
110;;;26.8478;-75.7684;0;Bottom;Copper Fill251
111;;;65.1637;-22.53;0;Bottom;Copper Fill501
112;;TO220 [THT];21.3318;-67.7408;90;Bottom;Q8
113;2.49k;0805 [SMD];31.9453;-20.6058;180;Top;R3
114;;;42.4942;-27.6862;0;Bottom;Copper Fill57
115;;;41.4528;-23.0507;0;Bottom;Copper Fill539
116;;;27.3685;-83.0836;0;Bottom;Copper Fill470
117;;;25.1206;-35.357;0;Bottom;Copper Fill316
118;;;65.3542;-41.5927;0;Bottom;Copper Fill211
119;;;3.5941;-85.268;0;Bottom;Copper Fill360
120;;;15.0241;-83.49;0;Bottom;Copper Fill511
121;;;79.0702;-14.6814;0;Bottom;Copper Fill347
122;;;68.7324;-48.8444;0;Bottom;Copper Fill290
123;;;71.5137;-8.7378;0;Bottom;Copper Fill435
124;;;79.4977;-38.3858;0;Bottom;Via16
125;;;86.7918;-27.5084;0;Bottom;Copper Fill332
126;;;95.1738;-28.2831;0;Bottom;Copper Fill425
127;1k;0805 [SMD];41.7152;-90.0657;-90;Top;R12
128;;;20.6756;-65.2655;0;Bottom;Copper Fill524
129;;THT;53.4628;-7.58831;90;Bottom;J147
130;;;21.5138;-22.2379;0;Bottom;Copper Fill146
131;;;42.5196;-43.5231;0;Bottom;Copper Fill562
132;;;33.1427;-25.0508;0;Bottom;Via135
133;;;85.9409;-36.9572;0;Bottom;Copper Fill480
134;;;8.3185;-26.848;0;Bottom;Copper Fill171
135;;;14.4018;-51.5622;0;Bottom;Copper Fill28
136;1k;0805 [SMD];42.0327;-71.3058;90;Top;R50
137;;;75.8952;-40.9196;0;Bottom;Copper Fill304
138;470;0805 [SMD];55.0502;-24.0258;-90;Top;R6
139;;;22.6652;-85.0584;0;Bottom;Via58
140;;;3.0734;-85.7379;0;Bottom;Copper Fill85
141;;;94.4118;-67.9198;0;Bottom;Copper Fill265
142;;;54.7878;-72.7331;0;Bottom;Copper Fill504
143;;;52.9336;-85.0775;0;Bottom;Copper Fill407
144;;;66.294;-37.7446;0;Bottom;Copper Fill44
145;;;81.4324;-42.5579;0;Bottom;Copper Fill514
146;;;15.494;-7.9631;0;Bottom;Copper Fill133
147;;;61.4172;-75.4382;0;Bottom;Copper Fill4
148;;;55.3085;-81.1532;0;Bottom;Copper Fill121
149;2.49k;0805 [SMD];67.1878;-63.1508;0;Top;R61
150;;THT;53.4628;-12.6683;90;Bottom;J145
151;;;86.7537;-88.4684;0;Bottom;Copper Fill588
152;;;31.9278;-75.7684;0;Bottom;Copper Fill253
153;;;9.4234;-90.8179;0;Bottom;Copper Fill376
154;;;79.9592;-9.1188;0;Bottom;Copper Fill354
155;;;9.96517;-90.7734;0;Bottom;Via78
156;;;66.4337;-92.2784;0;Bottom;Copper Fill438
157;;;87.1982;-49.2127;0;Bottom;Copper Fill410
158;;;93.1037;-32.817;0;Bottom;Copper Fill212
159;100k;0805 [SMD];42.0327;-66.1083;-90;Top;R48
160;;;84.2518;-27.5084;0;Bottom;Copper Fill331
161;;;11.7348;-23.4063;0;Bottom;Copper Fill456
162;;;29.3878;-75.7684;0;Bottom;Copper Fill252
163;;;71.2089;-36.0428;0;Bottom;Copper Fill447
164;;;64.5033;-42.4436;0;Bottom;Copper Fill534
165;;THT;42.0328;-10.1283;0;Bottom;GND
166;;;80.4502;-19.3359;0;Bottom;Via149
167;;;92.4814;-15.5831;0;Bottom;Copper Fill547
168;;;14.1986;-15.0624;0;Bottom;Copper Fill73
169;;;22.5298;-79.7308;0;Bottom;Copper Fill244
170;;;87.6681;-49.708;0;Bottom;Copper Fill129
171;0.22µF;0805 [SMD, multilayer];68.3852;-32.1083;-90;Top;C8
172;;;21.0185;-21.768;0;Bottom;Copper Fill144
173;;;48.6537;-45.2884;0;Bottom;Copper Fill167
174;;;49.1236;-44.7931;0;Bottom;Copper Fill170
175;5V;TO220 [THT];74.1003;-89.1223;0;Bottom;U1
176;;;52.9336;-85.0775;0;Bottom;Copper Fill128
177;;;75.8698;-56.7946;0;Bottom;Copper Fill280
178;;;60.5536;-69.8883;0;Bottom;Copper Fill105
179;;;94.4118;-50.1398;0;Bottom;Copper Fill291
180;;;62.6237;-16.5102;0;Bottom;Copper Fill498
181;;;71.2089;-53.2132;0;Bottom;Copper Fill386
182;;;32.1437;-89.8908;0;Bottom;Copper Fill509
183;;;22.4536;-42.5579;0;Bottom;Copper Fill114
184;;;49.3776;-17.0055;0;Bottom;Copper Fill550
185;100k;0805 [SMD];87.0452;-37.4333;0;Top;R38
186;;;8.7884;-55.2579;0;Bottom;Copper Fill570
187;;;39.2684;-31.7883;0;Bottom;Copper Fill226
188;;;32.8676;-65.1131;0;Bottom;Copper Fill488
189;;;94.4118;-47.5998;0;Bottom;Copper Fill35
190;;;38.7985;-44.0438;0;Bottom;Copper Fill495
191;470;0805 [SMD];26.7927;-37.0433;90;Top;R41
192;;;9.33017;-55.2133;0;Bottom;Via152
193;;;44.1833;-91.6434;0;Bottom;Copper Fill468
194;;;94.4118;-57.7598;0;Bottom;Copper Fill23
195;;;14.2494;-17.069;0;Bottom;Copper Fill345
196;;;14.4018;-27.5846;0;Bottom;Copper Fill326
197;;;91.948;-37.4144;0;Bottom;Copper Fill313
198;;;71.0184;-9.2331;0;Bottom;Copper Fill153
199;;;87.5284;-89.2431;0;Bottom;Copper Fill590
200;;;64.5033;-42.4436;0;Bottom;Copper Fill209
201;;;37.0078;-75.7684;0;Bottom;Copper Fill255
202;;;24.4602;-22.6824;0;Bottom;Copper Fill335
203;;;21.5138;-22.2379;0;Bottom;Copper Fill429
204;;;63.2206;-26.2638;0;Bottom;Copper Fill56
205;;;61.6585;-89.9162;0;Bottom;Copper Fill565
206;1k;0805 [SMD];91.0003;-12.3508;180;Top;R60
207;;;66.0654;-35.2046;0;Bottom;Copper Fill47
208;0.22µF;0805 [SMD, multilayer];56.3928;-72.6758;0;Top;C30
209;;;55.8038;-90.1575;0;Bottom;Copper Fill579
210;;;83.1342;-58.4583;0;Bottom;Copper Fill186
211;;;14.4018;-54.3562;0;Bottom;Copper Fill26
212;;;60.5536;-69.8883;0;Bottom;Copper Fill385
213;470;0805 [SMD];62.6702;-24.0258;-90;Top;R64
214;;;14.5034;-7.9631;0;Bottom;Copper Fill132
215;;;48.006;-50.343;0;Bottom;Copper Fill284
216;;;87.0458;-58.3948;0;Bottom;Copper Fill275
217;;;94.4118;-39.9798;0;Bottom;Copper Fill310
218;0.1µF;0805 [SMD, multilayer];67.7502;-17.9932;-90;Top;C28
219;;;15.494;-7.9631;0;Bottom;Copper Fill415
220;;;52.5102;-85.0584;0;Bottom;Via142
221;;;6.2738;-33.0583;0;Bottom;Copper Fill433
222;1µF;0805 [SMD, multilayer];76.2502;-34.2583;0;Top;C12
223;;;46.736;-65.2655;0;Bottom;Copper Fill522
224;10k;0805 [SMD];29.3327;-12.9132;-90;Top;R63
225;;;41.4528;-65.1131;0;Bottom;Copper Fill483
226;;;55.8038;-80.6579;0;Bottom;Copper Fill124
227;;;71.2089;-37.008;0;Bottom;Copper Fill163
228;;;22.1234;-85.0775;0;Bottom;Copper Fill90
229;;;38.4937;-24.0032;0;Bottom;Copper Fill398
230;;;81.9785;-92.7356;0;Bottom;Copper Fill237
231;;;90.6526;-6.4772;0;Bottom;Copper Fill77
232;;;94.4118;-75.2604;0;Bottom;Copper Fill260
233;;;81.9785;-90.856;0;Bottom;Copper Fill581
234;;;55.7022;-19.0502;0;Bottom;Copper Fill70
235;;;83.8962;-26.8734;0;Bottom;Copper Fill58
236;0.01µF;0805 [SMD, multilayer];75.3702;-24.0258;-90;Top;C25
237;;;50.5714;-90.1575;0;Bottom;Copper Fill224
238;;;5.7785;-33.5536;0;Bottom;Copper Fill430
239;0.22µF;0805 [SMD, multilayer];70.2902;-24.0258;-90;Top;C10
240;;;41.0972;-7.6583;0;Bottom;Copper Fill205
241;;;9.2837;-54.788;0;Bottom;Copper Fill569
242;;;82.9056;-91.7831;0;Bottom;Copper Fill240
243;;;79.9084;-19.3931;0;Bottom;Copper Fill137
244;;;55.0037;-16.5102;0;Bottom;Copper Fill461
245;;;71.5137;-9.7284;0;Bottom;Copper Fill151
246;;;31.8727;-9.17591;0;Bottom;Via146
247;;;75.8952;-44.12;0;Bottom;Copper Fill299
248;;;12.1285;-78.918;0;Bottom;Copper Fill109
249;;;56.7182;-90.1575;0;Bottom;Copper Fill580
250;;;83.1342;-42.5579;0;Bottom;Copper Fill188
251;;;14.4018;-57.0994;0;Bottom;Copper Fill279
252;;;84.3534;-29.896;0;Bottom;Copper Fill321
253;;;58.6486;-19.0883;0;Bottom;Copper Fill373
254;;;22.9489;-43.0532;0;Bottom;Copper Fill392
255;;;71.0438;-84.4679;0;Bottom;Copper Fill445
256;;;28.6385;-64.313;0;Bottom;Copper Fill519
257;;;94.4118;-67.9198;0;Bottom;Copper Fill14
258;;;66.929;-71.0694;0;Bottom;Copper Fill12
259;;;71.9836;-9.2331;0;Bottom;Copper Fill437
260;;;81.6864;-64.4527;0;Bottom;Copper Fill471
261;;;8.7376;-50.3811;0;Bottom;Copper Fill506
262;;;67.7672;-33.2107;0;Bottom;Copper Fill543
263;;;49.2506;-90.1575;0;Bottom;Copper Fill554
264;;;14.2748;-46.5838;0;Bottom;Copper Fill36
265;;;18.3388;-74.0031;0;Bottom;Copper Fill365
266;;;86.7537;-90.0432;0;Bottom;Copper Fill587
267;;;57.658;-19.0883;0;Bottom;Copper Fill92
268;;;20.6756;-65.2655;0;Bottom;Copper Fill197
269;;;36.9189;-86.538;0;Bottom;Copper Fill98
270;;;86.7537;-88.4684;0;Bottom;Copper Fill230
271;;;88.6714;-14.5036;0;Bottom;Copper Fill348
272;100k;0805 [SMD];27.4277;-90.0657;-90;Top;R13
273;;;20.2692;-21.895;0;Bottom;Copper Fill66
274;;;28.6385;-64.313;0;Bottom;Copper Fill193
275;1µF;0805 [SMD, multilayer];42.0327;-42.4408;90;Top;C20
276;;;88.1634;-49.2127;0;Bottom;Copper Fill411
277;;;48.9966;-75.2858;0;Bottom;Copper Fill247
278;;;24.3713;-31.2422;0;Bottom;Copper Fill460
279;120;0805 [SMD];30.0403;-36.0683;0;Top;R62
280;;;87.6681;-67.1832;0;Bottom;Copper Fill528
281;;;41.0972;-12.7383;0;Bottom;Copper Fill577
282;;;14.1478;-44.5264;0;Bottom;Copper Fill41
283;;;14.4018;-49.073;0;Bottom;Copper Fill30
284;;;60.0837;-69.393;0;Bottom;Copper Fill383
285;;;36.3982;-35.0776;0;Bottom;Copper Fill309
286;;;63.9826;-29.896;0;Bottom;Copper Fill320
287;;;11.2776;-40.5386;0;Bottom;Copper Fill306
288;;;79.2734;-82.0676;0;Bottom;Copper Fill242
289;1k;0805 [SMD];50.6052;-71.3058;90;Top;R58
290;;;24.3713;-32.3344;0;Bottom;Copper Fill459
291;;TO220 [THT];47.3668;-67.7408;90;Bottom;Q6
292;;;36.4236;-86.0427;0;Bottom;Copper Fill100
293;;;94.4118;-39.9798;0;Bottom;Copper Fill43
294;;;8.7376;-50.3811;0;Bottom;Copper Fill179
295;;;94.4118;-37.4398;0;Bottom;Copper Fill45
296;1k;0805 [SMD];24.5702;-71.3058;90;Top;R51
297;;;23.114;-85.0775;0;Bottom;Copper Fill91
298;1k;0805 [SMD];33.4602;-71.3058;90;Top;R57
299;;;31.8389;-8.7378;0;Bottom;Copper Fill234
300;;;97.5678;-24.3175;-90;Bottom;TXT4
301;;;71.5137;-8.7378;0;Bottom;Copper Fill152
302;;;50.0125;-52.6733;0;Bottom;Arduino Mega 2560
303;;;15.0241;-7.4678;0;Bottom;Copper Fill413
304;;;97.6177;-17.7281;-90;Bottom;TXT4
305;;;87.1982;-34.6331;0;Bottom;Copper Fill418
306;;;31.8389;-9.7284;0;Bottom;Copper Fill584
307;;;19.4902;-5.04841;0;Bottom;Via157
308;;;39.7637;-32.2836;0;Bottom;Copper Fill225
309;;;70.5485;-83.998;0;Bottom;Copper Fill443
310;100k;0805 [SMD];50.6052;-66.1083;-90;Top;R56
311;;;56.3118;-75.7684;0;Bottom;Copper Fill2
312;;;96.7232;-37.4398;0;Bottom;Copper Fill46
313;;;70.2437;-22.53;0;Bottom;Copper Fill545
314;;;38.9636;-23.5079;0;Bottom;Copper Fill401
315;;;21.0185;-22.7332;0;Bottom;Copper Fill426
316;;;54.4576;-17.0055;0;Bottom;Copper Fill462
317;;;4.064;-85.7379;0;Bottom;Copper Fill362
318;;v18za2p;49.9703;-86.4483;-90;Bottom;U2
319;;;29.5656;-65.2655;0;Bottom;Copper Fill520
320;;;74.0537;-88.57;0;Bottom;Copper Fill563
321;;;54.8132;-80.6579;0;Bottom;Copper Fill123
322;;;3.0734;-85.7379;0;Bottom;Copper Fill361
323;;;30.089;-17.7649;0;Bottom;TXT3
324;;;86.6394;-38.8368;0;Bottom;Copper Fill72
325;;;37.2237;-64.313;0;Bottom;Copper Fill191
326;;;71.2427;-52.6733;0;Bottom;Via100
327;;THT;58.2253;-60.2933;90;Bottom;J148
328;;;95.6437;-32.817;0;Bottom;Copper Fill177
329;;;70.5485;-84.9632;0;Bottom;Copper Fill442
330;;THT;85.5303;-8.22331;90;Bottom;JP5
331;;;9.7536;-55.2579;0;Bottom;Copper Fill220
332;;;48.7172;-75.1334;0;Bottom;Copper Fill258
333;47µF;200 mil [THT, tantalum];86.8003;-86.6458;90;Bottom;C14
334;;;73.3044;-17.0055;0;Bottom;Copper Fill557
335;;;77.5716;-10.3634;0;Bottom;Copper Fill75
336;10µF;A 3216 [SMD, tantalum];56.3202;-88.7383;-90;Top;C16
337;;;29.5656;-65.2655;0;Bottom;Copper Fill194
338;;;60.6114;-62.5805;0;Bottom;TXT12
339;;;55.5244;-17.0055;0;Bottom;Copper Fill463
340;0.1µF;0805 [SMD, multilayer];42.0327;-24.0258;-90;Top;C1
341;;;10.414;-90.8179;0;Bottom;Copper Fill97
342;;;37.3888;-86.0427;0;Bottom;Copper Fill101
343;;;55.7012;-62.5805;0;Bottom;TXT12
344;;;5.7785;-32.563;0;Bottom;Copper Fill148
345;;;94.7377;-28.2258;0;Bottom;Via148
346;;;3.5941;-85.268;0;Bottom;Copper Fill84
347;;;7.2644;-40.5894;0;Bottom;Copper Fill305
