*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
190;10;0805 [SMD];72.6372;-53.0619;0;Top;R27
191;;;47.4821;-18.772;0;Bottom;Via125
192;;DIP (Dual Inline) [THT];52.8797;-37.1869;180;Bottom;IC5
193;;;88.9254;-55.4484;0;Bottom;Copper Fill273
194;;;61.7093;-53.6704;0;Bottom;Copper Fill481
195;;;79.9846;-73.203;0;Bottom;Copper Fill6
196;;;37.6284;-85.2232;-90;Bottom;TXT11
197;;;54.7878;-27.2798;0;Bottom;Copper Fill324
198;;;73.4441;-64.7194;0;Bottom;Copper Fill170
199;;;95.5294;-82.6391;0;Bottom;Copper Fill381
200;;;53.1241;-41.8848;0;Bottom;Copper Fill418
201;;;94.7928;-50.5208;0;Bottom;Copper Fill281
202;2.2;0805 [SMD];67.5572;-43.2194;0;Top;R68
203;;;32.4993;-55.169;0;Bottom;Copper Fill410
204;2.49k;0805 [SMD];46.4571;-16.2319;180;Top;R1
205;;THT;59.2297;-81.6369;90;Bottom;J114
206;;;72.8345;-92.9388;0;Bottom;Copper Fill568
207;;;87.4141;-90.3988;0;Bottom;Copper Fill82
208;100 nF;0805 [SMD, multilayer];64.3822;-16.2319;0;Top;C26
209;;;61.6797;-94.0459;0;Bottom;TXT11
210;100 nF;0805 [SMD, multilayer];63.0397;-24.7319;-90;Top;C27
211;;;4.5466;-31.5343;0;Bottom;Copper Fill480
212;;;71.2946;-46.7119;0;Bottom;Via101
213;;;51.6128;-30.1246;0;Bottom;Copper Fill321
214;;;14.3002;-63.8558;0;Bottom;Copper Fill12
215;;;84.1248;-75.8954;0;Bottom;Copper Fill258
216;;THT;56.6897;-84.1769;90;Bottom;J176
217;;;52.8193;-23.2412;0;Bottom;Copper Fill533
218;;;28.8544;-10.338;0;Bottom;Copper Fill74
219;;;94.7293;-29.7944;0;Bottom;Copper Fill415
220;;;65.532;-92.7991;0;Bottom;Copper Fill573
221;;;44.3484;-41.0339;0;Bottom;Copper Fill203
222;;;43.7487;-93.7389;0;Bottom;TXT11
223;;;15.7321;-31.4719;0;Bottom;Via120
224;0.1µF;0805 [SMD, multilayer];57.9597;-18.7496;-90;Top;C5
225;;;45.1993;-41.8848;0;Bottom;Copper Fill202
226;;;34.1249;-34.8744;0;Bottom;Copper Fill394
227;0.1µF;0805 [SMD, multilayer];45.2597;-24.7319;90;Top;C1
228;;;28.0797;-18.4914;0;Bottom;Copper Fill470
229;;;54.4671;-53.0619;0;Bottom;Via47
230;;THT;49.0697;-91.7969;90;Bottom;J195
231;;;21.082;-92.3419;0;Bottom;Copper Fill508
232;;;65.532;-92.7991;0;Bottom;Copper Fill225
233;;;50.3682;-21.26;0;Bottom;Copper Fill333
234;;;89.8144;-30.0992;0;Bottom;Copper Fill322
235;;;56.6293;-41.8848;0;Bottom;Copper Fill204
236;;;19.5421;-81.3195;0;Bottom;Via95
237;;;36.0521;-90.2095;0;Bottom;Via97
238;;;88.2396;-50.343;0;Bottom;Copper Fill310
239;;;52.6288;-41.3895;0;Bottom;Copper Fill420
240;470;0805 [SMD];12.9472;-33.0594;0;Top;R41
241;;;97.2662;-94.5889;0;Bottom;TXT9
242;;;84.7344;-46.7743;0;Bottom;Copper Fill433
243;;;56.6674;-78.2068;0;Bottom;Copper Fill247
244;;;62.2046;-19.4439;0;Bottom;Copper Fill141
245;;;94.7928;-40.3608;0;Bottom;Copper Fill39
246;;;5.0673;-28.4482;0;Bottom;Copper Fill552
247;;0805 [SMD];62.7947;-53.0619;0;Top;LED2
248;;TO220 [THT];42.0212;-67.9844;90;Bottom;Q7
249;;;77.6446;-16.867;0;Bottom;Via116
250;;;40.4241;-64.5416;0;Bottom;Copper Fill189
251;;;21.1328;-46.7108;0;Bottom;Copper Fill32
252;220;0805 [SMD];65.5797;-24.7319;-90;Top;R64
253;;;72.1741;-61.2396;0;Bottom;Copper Fill173
254;0.22µF;0805 [SMD, multilayer];57.9597;-71.7219;-90;Top;C30
255;;;59.2074;-78.2068;0;Bottom;Copper Fill248
256;;;95.0341;-82.1692;0;Bottom;Copper Fill105
257;;;83.4136;-55.6643;0;Bottom;Copper Fill512
258;;;3.34982;-52.4269;0;Bottom;Hole2
259;;;88.3793;-47.5744;0;Bottom;Copper Fill364
260;;;73.9394;-64.1987;0;Bottom;Copper Fill172
261;;;25.3746;-74.7143;0;Bottom;Copper Fill148
262;470;0805 [SMD];57.9597;-24.7319;-90;Top;R6
263;;;34.5948;-34.3791;0;Bottom;Copper Fill125
264;;;1.7145;-63.7796;0;Bottom;Copper Fill422
265;100k;0805 [SMD];16.6847;-91.4069;-90;Top;R13
266;;;27.5336;-65.6719;0;Bottom;Copper Fill469
267;;;67.4116;-92.7991;0;Bottom;Copper Fill226
268;;;54.3941;-58.6996;0;Bottom;Copper Fill371
269;;;81.0641;-66.3196;0;Bottom;Copper Fill374
270;;;32.9946;-55.6643;0;Bottom;Copper Fill145
271;;;22.0345;-93.2944;0;Bottom;Copper Fill506
272;;;34.1249;-93.015;0;Bottom;Copper Fill451
273;;;23.3045;-64.5416;0;Bottom;Copper Fill521
274;;;32.004;-55.6643;0;Bottom;Copper Fill144
275;;;24.384;-74.7143;0;Bottom;Copper Fill147
276;;;80.6704;-92.7991;0;Bottom;Copper Fill564
277;;;51.054;-19.4439;0;Bottom;Copper Fill79
278;;;47.3456;-33.1472;0;Bottom;Copper Fill48
279;;;11.3538;-30.5691;0;Bottom;Copper Fill465
280;;;40.1066;-32.5122;0;Bottom;Copper Fill312
281;;;43.0784;-77.2416;0;Bottom;Copper Fill242
282;;;33.6042;-34.3791;0;Bottom;Copper Fill396
283;;;9.3821;-7.34203;0;Bottom;Via139
284;;;7.9248;-34.3791;0;Bottom;Copper Fill388
285;1k;0805 [SMD];28.1147;-71.5494;90;Top;R51
286;;;53.1241;-41.8848;0;Bottom;Copper Fill153
287;;;21.082;-85.0267;0;Bottom;Copper Fill502
288;;;21.1328;-8.6108;0;Bottom;Copper Fill352
289;;;36.0934;-65.6719;0;Bottom;Copper Fill474
290;;;84.2645;-47.2696;0;Bottom;Copper Fill164
291;;;3.302;-92.3419;0;Bottom;Copper Fill179
292;;;39.6494;-9.9443;0;Bottom;Copper Fill133
293;;THT;51.6097;-84.1769;90;Bottom;J170
294;;;70.6596;-28.9319;0;Bottom;Via68
295;47µF;200 mil [THT, tantalum];72.8822;-89.5744;90;Bottom;C14
296;;SO(w);9.69966;-63.3844;180;Top;IC5
297;;;61.1886;-53.1243;0;Bottom;Copper Fill482
298;;;34.8234;-76.1748;0;Bottom;Copper Fill251
299;;SO16 [SMD];9.4838;-19.4183;90;Top;IC6
300;;;45.2628;-92.9642;0;Bottom;Copper Fill230
301;;;87.4871;-90.8445;0;Bottom;Via23
302;;;87.9602;-45.4408;0;Bottom;Copper Fill17
303;;;81.0641;-65.329;0;Bottom;Copper Fill375
304;;;6.3881;-14.7068;0;Bottom;Copper Fill475
305;;;94.234;-29.2991;0;Bottom;Copper Fill151
306;;;14.3256;-61.3158;0;Bottom;Copper Fill14
307;;;7.9248;-34.3791;0;Bottom;Copper Fill116
