*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;28.6004;-18.9867;0;Bottom;Copper Fill472
103;;;58.4454;-70.7519;0;Bottom;Copper Fill490
104;3.9k;0805 [SMD];87.0971;-31.3769;180;Top;R7
105;;;24.2316;-65.4687;0;Bottom;Copper Fill195
106;;;24.2316;-65.4687;0;Bottom;Copper Fill522
107;;;51.5493;-18.974;0;Bottom;Copper Fill354
108;;;2.0193;-80.8992;0;Bottom;Copper Fill389
109;;;89.6493;-35.103;0;Bottom;Copper Fill463
110;;;91.8972;-91.2243;0;Bottom;Copper Fill218
111;;;48.0568;-65.4687;0;Bottom;Copper Fill194
112;;;15.9258;-32.9948;0;Bottom;Copper Fill314
113;;;5.6642;-11.2143;0;Bottom;Copper Fill428
114;;;5.334;-45.6186;0;Bottom;Copper Fill287
115;;THT;85.8997;-8.61193;90;Bottom;JP5
116;;;40.3098;-37.2112;0;Bottom;Copper Fill305
117;;;76.5048;-75.8954;0;Bottom;Copper Fill255
118;;;1.524;-80.4039;0;Bottom;Copper Fill119
119;;;7.4771;-34.3294;0;Bottom;Via75
120;;;94.7928;-37.8208;0;Bottom;Copper Fill42
121;;THT;46.5297;-81.6369;90;Bottom;J203
122;;;94.7928;-55.6008;0;Bottom;Copper Fill22
123;;;21.1328;-28.9308;0;Bottom;Copper Fill55
124;;;87.1728;-22.4538;0;Bottom;Copper Fill336
125;;;55.4228;-92.9642;0;Bottom;Copper Fill234
126;;;49.367;-50.1381;0;Bottom;TXT11
127;;;60.9092;-10.2491;0;Bottom;Copper Fill110
128;;;3.302;-85.0267;0;Bottom;Copper Fill511
129;;;6.9342;-34.3791;0;Bottom;Copper Fill115
